,A,B,K,d,r,s,D,j,j_deg,gmm
417,6400/3*theta_K^3 - 37888/3*theta_K^2 - 8960/3*theta_K + 51712/3,-24538112/9*theta_K^3 + 8802304*theta_K^2 + 33774592/9*theta_K - 327169024/27,x^4 - 13*x^2 + 16,4,4,0,11025,x^4 + 1641640623633325773619200*x^3 + 116880346596078822090604544000*x^2 + 256755031834901461034493542400000*x + 16319518649540946810407747584000000,4,True
418,-53440/3*theta_K^3 - 186112/3*theta_K^2 + 67520/3*theta_K + 249088/3,71778304/9*theta_K^3 + 27037696*theta_K^2 - 98324480/9*theta_K - 1003197440/27,x^4 - 13*x^2 + 16,4,4,0,11025,x^4 + 1641640623633325773619200*x^3 + 116880346596078822090604544000*x^2 + 256755031834901461034493542400000*x + 16319518649540946810407747584000000,4,True
419,1339520*theta_K^3 - 13703168/3*theta_K^2 - 1843840*theta_K + 18862592/3,-179953301504/27*theta_K^3 + 68168839168/3*theta_K^2 + 27523352576/3*theta_K - 93836088320/3,x^4 - 13*x^2 + 16,4,4,0,11025,x^4 + 1641640623633325773619200*x^3 + 116880346596078822090604544000*x^2 + 256755031834901461034493542400000*x + 16319518649540946810407747584000000,4,True
420,166400/3*theta_K^3 - 626432/3*theta_K^2 - 229120/3*theta_K + 862208/3,1622567936/27*theta_K^3 - 1874653184/9*theta_K^2 - 248167424/3*theta_K + 2580505600/9,x^4 - 13*x^2 + 16,4,4,0,11025,x^4 + 1641640623633325773619200*x^3 + 116880346596078822090604544000*x^2 + 256755031834901461034493542400000*x + 16319518649540946810407747584000000,4,True
421,33920/3*theta_K^3 - 289792/3*theta_K^2 - 46720/3*theta_K + 398848/3,50403328/9*theta_K^3 - 42119168*theta_K^2 - 69380096/9*theta_K + 1565412352/27,x^4 - 13*x^2 + 16,4,4,0,11025,x^4 + 1641640623633325773619200*x^3 + 116880346596078822090604544000*x^2 + 256755031834901461034493542400000*x + 16319518649540946810407747584000000,4,True
422,-194560*theta_K^3 - 2007808/3*theta_K^2 + 267520*theta_K + 2762752/3,371344384*theta_K^3 + 1266585600*theta_K^2 - 1533541376/3*theta_K - 47074628608/27,x^4 - 13*x^2 + 16,4,4,0,11025,x^4 + 1641640623633325773619200*x^3 + 116880346596078822090604544000*x^2 + 256755031834901461034493542400000*x + 16319518649540946810407747584000000,4,True
423,-66880*theta_K^3 - 685312/3*theta_K^2 + 91200*theta_K + 940288/3,-875804672/3*theta_K^3 - 995291136*theta_K^2 + 1205626880/3*theta_K + 36991790080/27,x^4 - 13*x^2 + 16,4,4,0,11025,x^4 + 1641640623633325773619200*x^3 + 116880346596078822090604544000*x^2 + 256755031834901461034493542400000*x + 16319518649540946810407747584000000,4,True
424,-4608320/3*theta_K^3 - 15724288/3*theta_K^2 + 6283840/3*theta_K + 21574912/3,288991003648/9*theta_K^3 + 109473222656*theta_K^2 - 397823095808/9*theta_K - 4068769739776/27,x^4 - 13*x^2 + 16,4,4,0,11025,x^4 + 1641640623633325773619200*x^3 + 116880346596078822090604544000*x^2 + 256755031834901461034493542400000*x + 16319518649540946810407747584000000,4,True
425,10*theta_K^3 - 80*theta_K - 90,64*theta_K^3 - 1728,x^4 - x^3 - 8*x^2 - 9*x + 81,4,0,2,11025,-3375,1,False
426,23770*theta_K^3 - 52480*theta_K^2 - 242640*theta_K + 730710,5588288*theta_K^3 - 48190464*theta_K^2 + 144571392*theta_K - 150883776,x^4 - x^3 - 8*x^2 - 9*x + 81,4,0,2,11025,-3375,1,False
427,176/3*theta_K^3 + 80*theta_K^2 - 1024/3*theta_K - 1680,-49984/27*theta_K^3 - 15872/3*theta_K^2 - 1536*theta_K + 29504,x^4 - x^3 - 8*x^2 - 9*x + 81,4,0,2,11025,x^4 + 54442*x^3 + 1684462635*x^2 - 55816919126*x + 145606291302529,4,False
428,-6*theta_K^3 - 48*theta_K^2 + 1168/3*theta_K - 666,22336/27*theta_K^3 - 512*theta_K^2 - 15872*theta_K + 37312,x^4 - x^3 - 8*x^2 - 9*x + 81,4,0,2,11025,x^4 + 54442*x^3 + 1684462635*x^2 - 55816919126*x + 145606291302529,4,False
429,642290/3*theta_K^3 - 1651568/3*theta_K^2 - 1747760*theta_K + 5881002,12318146624/27*theta_K^3 - 280559104*theta_K^2 - 8743737856*theta_K + 20565232832,x^4 - x^3 - 8*x^2 - 9*x + 81,4,0,2,11025,x^4 + 54442*x^3 + 1684462635*x^2 - 55816919126*x + 145606291302529,4,False
430,-98/3*theta_K^3 + 128*theta_K^2 - 426,-37312/27*theta_K^3 + 15872/3*theta_K^2 + 1536*theta_K - 22336,x^4 - x^3 - 8*x^2 - 9*x + 81,4,0,2,11025,x^4 + 54442*x^3 + 1684462635*x^2 - 55816919126*x + 145606291302529,4,False
431,-64442*theta_K^3 + 951056/3*theta_K^2 + 2263296*theta_K + 5534682,-27561276992/27*theta_K^3 - 8743737856/3*theta_K^2 - 841677312*theta_K + 16245081664,x^4 - x^3 - 8*x^2 - 9*x + 81,4,0,2,11025,x^4 + 54442*x^3 + 1684462635*x^2 - 55816919126*x + 145606291302529,4,False
432,-642290/3*theta_K^3 + 2602624/3*theta_K^2 - 104960/3*theta_K - 3027834,-20565232832/27*theta_K^3 + 8743737856/3*theta_K^2 + 841677312*theta_K - 12318146624,x^4 - x^3 - 8*x^2 - 9*x + 81,4,0,2,11025,x^4 + 54442*x^3 + 1684462635*x^2 - 55816919126*x + 145606291302529,4,False
433,64442*theta_K^3 + 1651568/3*theta_K^2 + 1747760*theta_K + 2273190,-16245081664/27*theta_K^3 + 280559104*theta_K^2 + 8743737856*theta_K + 27561276992,x^4 - x^3 - 8*x^2 - 9*x + 81,4,0,2,11025,x^4 + 54442*x^3 + 1684462635*x^2 - 55816919126*x + 145606291302529,4,False
434,146/3*theta_K^3 + 48*theta_K^2 - 1168/3*theta_K - 1590,-29504/27*theta_K^3 + 512*theta_K^2 + 15872*theta_K + 49984,x^4 - x^3 - 8*x^2 - 9*x + 81,4,0,2,11025,x^4 + 54442*x^3 + 1684462635*x^2 - 55816919126*x + 145606291302529,4,False
435,-892160*theta_K^2 + 5017040*theta_K - 8029440,318532416*theta_K^3 - 2746856448*theta_K^2 + 8240569344*theta_K - 8600375232,x^4 - x^3 - 8*x^2 - 9*x + 81,4,0,2,11025,16581375,1,False
436,-170*theta_K^3 + 1530,3648*theta_K^3 - 98496,x^4 - x^3 - 8*x^2 - 9*x + 81,4,0,2,11025,16581375,1,False
437,512/3*theta_K^3 - 512*theta_K^2 - 4096/3*theta_K - 1024,-7168/3*theta_K^3 + 372736/27*theta_K^2 + 852992/27*theta_K + 200704/9,x^4 - 2*x^3 - 2*x^2 + 3*x + 5,4,0,2,11253,-32768,1,True
438,-28672/3*theta_K^3 + 57344/3*theta_K^2 + 45056/3*theta_K - 189952/3,93270016/81*theta_K^3 - 212746240/81*theta_K^2 - 5820416/9*theta_K + 169659392/27,x^4 - x^3 - 3*x^2 + 3*x + 9,4,0,2,11253,-32768,1,True
439,720*theta_K^3 + 12320/3*theta_K^2 + 5200*theta_K + 11720,900032/27*theta_K^3 - 3314752/27*theta_K^2 - 222656/27*theta_K - 13369216/27,x^4 + 6*x^2 + 11,4,0,2,11264,8000,1,True
440,1840*theta_K^3 - 3360*theta_K^2 - 5200*theta_K + 31640/3,-140224/3*theta_K^3 + 1809472/27*theta_K^2 + 591808/3*theta_K - 2958592/9,x^4 - 6*x^2 + 11,4,0,2,11264,8000,1,True
441,-26852*theta_K^3 + 36416*theta_K^2 + 363832/3*theta_K - 451900/3,108277952/27*theta_K^3 - 48958672/9*theta_K^2 - 489025328/27*theta_K + 202481104/9,x^4 - x^3 - 5*x^2 + 4*x + 2,4,4,0,11324,x^4 - 53289518*x^3 + 431477291034*x^2 + 265290198255506*x + 6784866598087297,4,True
442,-1184/3*theta_K^3 + 272*theta_K^2 + 8224/3*theta_K - 8944/3,-34304/3*theta_K^3 + 26624/3*theta_K^2 + 2011136/27*theta_K - 737408/9,x^4 - x^3 - 5*x^2 + 4*x + 2,4,4,0,11324,x^4 - 51236398*x^3 - 143124519016*x^2 + 816785870025430*x - 725973986585203777,4,True
443,-413/3*theta_K^3 + 712/3*theta_K^2 + 1838/3*theta_K - 1015,-7042/3*theta_K^3 + 83000/27*theta_K^2 + 10620*theta_K - 341578/27,x^4 - x^3 - 5*x^2 + 4*x + 2,4,4,0,11324,x^4 - 43781492*x^3 + 515854907526*x^2 - 1499736835749556*x + 1282356702324344737,4,True
444,-763/3*theta_K^3 - 160/3*theta_K^2 + 2410/3*theta_K - 452,41030/27*theta_K^3 + 119440/27*theta_K^2 - 28564/27*theta_K - 22696/3,x^4 - x^3 - 5*x^2 + 4*x + 2,4,4,0,11324,x^4 - 1467056*x^3 + 230319989054*x^2 - 3299604004567024*x + 12394921075524664417,4,True
445,6288*theta_K^3 - 23600/3*theta_K^2 - 30592*theta_K + 110480/3,-11899648/9*theta_K^3 + 50020864/27*theta_K^2 + 155721728/27*theta_K - 65321344/9,x^4 - x^3 - 5*x^2 + 4*x + 2,4,4,0,11324,x^4 - 1689333926690*x^3 + 42739971069652597891610*x^2 - 21199982628693158152674658*x + 2613964421772679846570108417,4,True
446,-289860*theta_K^3 + 1201888/3*theta_K^2 + 3850520/3*theta_K - 4818556/3,-462251264/3*theta_K^3 + 5580232400/27*theta_K^2 + 19007101328/27*theta_K - 7836350512/9,x^4 - x^3 - 5*x^2 + 4*x + 2,4,4,0,11324,x^4 - 1915722133015462*x^3 + 1157647360355358395560*x^2 - 76817042209871287172712002*x + 18098644755909093063438288383,4,True
447,8752000/3*theta_K^3 + 7234880*theta_K^2 + 35096000/3*theta_K + 40105280/3,-5635789824*theta_K^3 + 30010649088*theta_K^2 + 34524374528/3*theta_K + 2495518764032/27,x^4 - 2*x^3 + 5*x^2 - 4*x + 12,4,0,2,11328,8000,1,True
448,-5120/3*theta_K^3 - 5440*theta_K^2 + 5120/3*theta_K - 25600/3,-1942528/9*theta_K^3 + 5734400/9*theta_K^2 - 1777664/3*theta_K + 17970176/27,x^4 - 2*x^3 + 9*x^2 - 6*x + 9,4,0,2,11328,8000,1,True
449,-3200*theta_K^3 + 26000/3*theta_K^2 - 85568/3*theta_K + 40976/3,4035584/27*theta_K^3 - 3636352/9*theta_K^2 + 11974016/9*theta_K - 17204992/27,x^4 - 2*x^3 + 7*x^2 + 2*x - 3,4,2,1,-11408,x^4 - 267276*x^3 + 18931680639*x^2 - 22474363405298*x - 1120683397845311,4,True
450,192*theta_K^3 - 1664/3*theta_K^2 + 1792*theta_K - 3280/3,-113408/27*theta_K^3 + 313856/27*theta_K^2 - 1025024/27*theta_K + 540032/27,x^4 - 2*x^3 + 7*x^2 + 2*x - 3,4,2,1,-11408,x^4 + 773814*x^3 + 2978422599*x^2 + 7964103676732*x + 13381091368208929,4,True
451,-103/4*theta_K^3 + 1601/12*theta_K^2 + 811/12*theta_K - 585/4,-34021/54*theta_K^3 + 63649/54*theta_K^2 + 39899/54*theta_K - 95963/54,x^4 - 2*x^3 + 4*x^2 - 2*x - 13,4,2,1,-11552,x^4 + 68672*x^3 + 1221064542*x^2 - 1987106001920*x - 168773156076447,4,True
452,-53/12*theta_K^3 + 11/4*theta_K^2 - 7/4*theta_K - 187/12,-37/54*theta_K^3 - 389/18*theta_K^2 + 571/54*theta_K + 79/2,x^4 - 2*x^3 + 4*x^2 - 2*x - 13,4,2,1,-11552,x^4 - 273504*x^3 + 685321374*x^2 - 548179516576*x + 426906748223073,4,True
453,-5028*theta_K^3 - 920/3*theta_K^2 - 20468*theta_K - 97321/3,5979332/9*theta_K^3 + 263360/9*theta_K^2 + 73365596/27*theta_K + 114088114/27,x^4 - 2*x^3 + 4*x^2 - 2*x - 13,4,2,1,-11552,x^4 - 114754*x^3 + 644180994*x^2 - 2239294614146*x + 2529743380966593,4,True
454,72245/12*theta_K^3 - 160961/12*theta_K^2 - 87787/12*theta_K + 234967/12,13749275/54*theta_K^3 - 114443807/54*theta_K^2 + 56156923/54*theta_K + 245944649/54,x^4 - 2*x^3 + 4*x^2 - 2*x - 13,4,2,1,-11552,x^4 - 73027423234*x^3 - 72036451160288766*x^2 + 10763979673804500628414*x + 81107934832377527502464271873,4,True
455,32/3*theta_K^3 - 256/3*theta_K^2 + 128*theta_K - 32,5488/27*theta_K^3 - 896*theta_K^2 + 7616/9*theta_K - 9296/27,x^4 - 2*x^3 - 4*x^2 + 5*x - 2,4,2,1,-11979,-32768,1,True
456,18208/3*theta_K^3 - 70400/3*theta_K^2 + 19584*theta_K - 6432,-8744176/9*theta_K^3 + 11283328/3*theta_K^2 - 28361536/9*theta_K + 28041328/27,x^4 - 2*x^3 - 4*x^2 + 5*x - 2,4,2,1,-11979,-32768,1,True
457,-848480/3*theta_K^2 + 848480/3*theta_K - 315872/3,416272976/3*theta_K^2 - 416272976/3*theta_K + 1394735888/27,x^4 - 2*x^3 - 4*x^2 + 5*x - 2,4,2,1,-11979,x^2 + 37616060956672*x - 56171326053810176,2,True
458,288*theta_K^2 - 288*theta_K - 1984/3,2128*theta_K^2 - 2128*theta_K - 200032/27,x^4 - 2*x^3 - 4*x^2 + 5*x - 2,4,2,1,-11979,x^2 + 37616060956672*x - 56171326053810176,2,True
459,978016/3*theta_K^2 - 978016/3*theta_K + 364096/3,-204239056/3*theta_K^2 + 204239056/3*theta_K - 684309472/27,x^4 - 2*x^3 - 4*x^2 + 5*x - 2,4,2,1,-11979,x^2 + 37616060956672*x - 56171326053810176,2,True
460,-288*theta_K^2 + 288*theta_K + 2336/3,-2128*theta_K^2 + 2128*theta_K + 87248/27,x^4 - 2*x^3 - 4*x^2 + 5*x - 2,4,2,1,-11979,x^2 + 37616060956672*x - 56171326053810176,2,True
461,832/3*theta_K^3 - 1936/3*theta_K^2 + 672*theta_K - 1936/3,-168064/27*theta_K^3 + 251008/27*theta_K^2 - 252032/27*theta_K + 533632/27,x^4 - x^3 + x^2 - 2*x - 3,4,2,1,-12119,x^4 - 105261*x^3 + 2378817852*x^2 + 45181484646355*x + 87992867075682304,4,True
462,52784*theta_K^3 + 108992/3*theta_K^2 + 343504/3*theta_K + 275936/3,-25696356992/27*theta_K^3 - 18134491136/27*theta_K^2 - 56626897024/27*theta_K - 45194764544/27,x^4 - x^3 + x^2 - 2*x - 3,4,2,1,-12119,x^4 + 211151808594233409*x^3 + 814822010762926478802*x^2 + 1240519542592054641823075*x - 627021912427232583643136,4,True
463,-7808/135*theta_K^3 + 15616/27*theta_K^2 + 39680/27*theta_K + 23424/5,-100352/15*theta_K^3 + 14824448/135,x^4 - x^3 + 10*x^2 + 9*x + 81,4,0,2,12321,4096,1,True
464,6784/135*theta_K^3 + 256/27*theta_K^2 + 6656/27*theta_K + 3968/5,-7168/27*theta_K^3 + 7168/27*theta_K^2 - 136192/27*theta_K + 176128/27,x^4 - x^3 + 10*x^2 + 9*x + 81,4,0,2,12321,4096,1,False
465,216064/5*theta_K^3 - 10641152/15,404518912/15*theta_K^3 - 59757349888/135,x^4 - x^3 + 10*x^2 + 9*x + 81,4,0,2,12321,38477541376,1,True
466,-621184/135*theta_K^3 - 216064/27*theta_K^2 + 1674496/27*theta_K - 1431424/15,28894208/27*theta_K^3 - 28894208/27*theta_K^2 + 548989952/27*theta_K - 709971968/27,x^4 - x^3 + 10*x^2 + 9*x + 81,4,0,2,12321,38477541376,1,False
467,5,2*theta_K^3 - 6*theta_K^2 + 22,x^4 - x^3 - 4*x^2 + 10*x + 16,4,0,2,12348,-3375,1,True
468,1040*theta_K^3 - 2680*theta_K^2 + 40*theta_K + 10445,-18752*theta_K^3 + 45528*theta_K^2 + 10824*theta_K - 206386,x^4 - x^3 - 4*x^2 + 10*x + 16,4,0,2,12348,-3375,1,True
469,27625/2*theta_K^3 - 48875/2*theta_K^2 - 45560*theta_K + 210800,-10968453*theta_K^3 + 28597527*theta_K^2 - 1796184*theta_K - 108009984,x^4 - x^3 - 4*x^2 + 10*x + 16,4,0,2,12348,16581375,1,True
470,-255/2*theta_K^3 + 765/2*theta_K^2 - 1360,513*theta_K^3 - 1539*theta_K^2 + 3648,x^4 - x^3 - 4*x^2 + 10*x + 16,4,0,2,12348,16581375,1,True
471,39760*theta_K^3 + 23505*theta_K^2 - 182785*theta_K - 210345,3117184*theta_K^3 + 4472878*theta_K^2 - 6621486*theta_K - 10544478,x^4 - 2*x^3 - 6*x^2 + 7*x + 14,4,0,2,12397,-3375,1,True
472,-592195*theta_K^3 - 414375*theta_K^2 + 2534020*theta_K + 2987580,-541318512*theta_K^3 - 259620294*theta_K^2 + 2665564758*theta_K + 3000318804,x^4 - 2*x^3 - 6*x^2 + 7*x + 14,4,0,2,12397,16581375,1,True
473,-400*theta_K^3 + 10325*theta_K^2 + 17915*theta_K + 31525,3188288/3*theta_K^3 - 1984846/3*theta_K^2 - 1284326*theta_K - 21462958/3,x^4 - 2*x^3 + 2*x^2 - x + 16,4,0,2,12397,-3375,1,True
474,-23205*theta_K^3 - 168470*theta_K^2 - 288405*theta_K - 367200,-41140928*theta_K^3 - 65511734*theta_K^2 - 107927562*theta_K + 16203808,x^4 - 2*x^3 + 2*x^2 - x + 16,4,0,2,12397,16581375,1,True
475,-320/7*theta_K^3 + 320*theta_K + 1200,-7424/7*theta_K^3 - 3968*theta_K^2 - 7424*theta_K,x^4 + 49,4,0,2,12544,-3375,1,True
476,320/7*theta_K^3 - 320*theta_K - 1200,7424/7*theta_K^3 - 7424*theta_K - 27776,x^4 + 49,4,0,2,12544,-3375,1,True
477,5440/7*theta_K^3 - 5440*theta_K - 20400,-423168/7*theta_K^3 + 423168*theta_K + 1583232,x^4 + 49,4,0,2,12544,16581375,1,True
478,-5440/7*theta_K^3 + 5440*theta_K + 20400,423168/7*theta_K^3 + 226176*theta_K^2 + 423168*theta_K,x^4 + 49,4,0,2,12544,16581375,1,True
479,-5,-2*theta_K^2 - 8,x^4 + 8*x^2 + 9,4,0,2,12544,-3375,1,True
480,-5,2*theta_K^2 + 8,x^4 + 8*x^2 + 9,4,0,2,12544,-3375,1,True
481,-85,114*theta_K^2 + 456,x^4 + 8*x^2 + 9,4,0,2,12544,16581375,1,True
482,-85,-114*theta_K^2 - 456,x^4 + 8*x^2 + 9,4,0,2,12544,16581375,1,True
483,240*theta_K^2 + 235,3698*theta_K^2 + 5272,x^4 + 8*x^2 + 9,4,0,2,12544,x^2 - 274917323970000*x + 1337635747140890625,2,True
484,-240*theta_K^2 - 1685,-3698*theta_K^2 - 24312,x^4 + 8*x^2 + 9,4,0,2,12544,x^2 - 274917323970000*x + 1337635747140890625,2,True
485,240*theta_K^2 + 235,-3698*theta_K^2 - 5272,x^4 + 8*x^2 + 9,4,0,2,12544,x^2 - 274917323970000*x + 1337635747140890625,2,True
486,-240*theta_K^2 - 1685,3698*theta_K^2 + 24312,x^4 + 8*x^2 + 9,4,0,2,12544,x^2 - 274917323970000*x + 1337635747140890625,2,True
487,-5,2*theta_K^2 - 8,x^4 - 8*x^2 + 9,4,4,0,12544,-3375,1,True
488,-20/3*theta_K^3 + 220/3*theta_K - 75,-116/3*theta_K^3 + 1276/3*theta_K - 434,x^4 - 8*x^2 + 9,4,4,0,12544,-3375,1,True
489,-5,-2*theta_K^2 + 8,x^4 - 8*x^2 + 9,4,4,0,12544,-3375,1,True
490,-20/3*theta_K^3 + 220/3*theta_K - 75,116/3*theta_K^3 - 1276/3*theta_K + 434,x^4 - 8*x^2 + 9,4,4,0,12544,-3375,1,True
491,-340/3*theta_K^3 + 3740/3*theta_K - 1275,2204*theta_K^3 - 24244*theta_K + 24738,x^4 - 8*x^2 + 9,4,4,0,12544,16581375,1,True
492,-85,-114*theta_K^2 + 456,x^4 - 8*x^2 + 9,4,4,0,12544,16581375,1,True
493,-340/3*theta_K^3 + 3740/3*theta_K - 1275,-2204*theta_K^3 + 24244*theta_K - 24738,x^4 - 8*x^2 + 9,4,4,0,12544,16581375,1,True
494,-85,114*theta_K^2 - 456,x^4 - 8*x^2 + 9,4,4,0,12544,16581375,1,True
495,-240*theta_K^2 + 235,3698*theta_K^2 - 5272,x^4 - 8*x^2 + 9,4,4,0,12544,x^2 - 274917323970000*x + 1337635747140890625,2,True
496,240*theta_K^2 - 1685,3698*theta_K^2 - 24312,x^4 - 8*x^2 + 9,4,4,0,12544,x^2 - 274917323970000*x + 1337635747140890625,2,True
497,240*theta_K^2 - 1685,-3698*theta_K^2 + 24312,x^4 - 8*x^2 + 9,4,4,0,12544,x^2 - 274917323970000*x + 1337635747140890625,2,True
498,3820/3*theta_K^3 - 3600*theta_K^2 - 1700/3*theta_K + 3525,337676/3*theta_K^3 - 295120*theta_K^2 - 401476/3*theta_K + 378014,x^4 - 8*x^2 + 9,4,4,0,12544,x^2 - 274917323970000*x + 1337635747140890625,2,True
499,-9620/3*theta_K^3 + 3600*theta_K^2 + 65500/3*theta_K - 25275,-255548*theta_K^3 + 295120*theta_K^2 + 1706708*theta_K - 1982946,x^4 - 8*x^2 + 9,4,4,0,12544,x^2 - 274917323970000*x + 1337635747140890625,2,True
500,3820/3*theta_K^3 - 3600*theta_K^2 - 1700/3*theta_K + 3525,-337676/3*theta_K^3 + 295120*theta_K^2 + 401476/3*theta_K - 378014,x^4 - 8*x^2 + 9,4,4,0,12544,x^2 - 274917323970000*x + 1337635747140890625,2,True
501,-240*theta_K^2 + 235,-3698*theta_K^2 + 5272,x^4 - 8*x^2 + 9,4,4,0,12544,x^2 - 274917323970000*x + 1337635747140890625,2,True
502,-9620/3*theta_K^3 + 3600*theta_K^2 + 65500/3*theta_K - 25275,255548*theta_K^3 - 295120*theta_K^2 - 1706708*theta_K + 1982946,x^4 - 8*x^2 + 9,4,4,0,12544,x^2 - 274917323970000*x + 1337635747140890625,2,True
503,-2584000/3*theta_K^3 + 2204160*theta_K^2 + 3552320/3*theta_K - 3005520,7407668992/3*theta_K^3 - 6366899840*theta_K^2 - 10027695872/3*theta_K + 8620763648,x^4 - 8*x^2 + 9,4,4,0,12544,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True
504,-96000*theta_K^3 - 99840*theta_K^2 + 130560*theta_K + 134480,-143897600/3*theta_K^3 - 46024704*theta_K^2 + 194897920/3*theta_K + 62318976,x^4 - 8*x^2 + 9,4,4,0,12544,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True
505,17600/3*theta_K^3 - 42240*theta_K^2 + 255680/3*theta_K - 51120,-31202048/3*theta_K^3 + 22543360*theta_K^2 + 89152768/3*theta_K - 48721792,x^4 - 8*x^2 + 9,4,4,0,12544,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True
506,-12800*theta_K^3 - 34560*theta_K^2 + 21760*theta_K + 44720,-8637440/3*theta_K^3 - 7576704*theta_K^2 + 12113920/3*theta_K + 10200576,x^4 - 8*x^2 + 9,4,4,0,12544,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True
507,-18240*theta_K^3 - 80640*theta_K^2 - 20160*theta_K + 161200,-7320320*theta_K^3 - 25050496*theta_K^2 + 1281280*theta_K + 43969024,x^4 - 8*x^2 + 9,4,4,0,12544,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True
508,791680/3*theta_K^3 - 326400*theta_K^2 - 5096960/3*theta_K + 2003280,795417088/3*theta_K^3 - 305356800*theta_K^2 - 5325129728/3*theta_K + 2061334912,x^4 - 8*x^2 + 9,4,4,0,12544,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True
509,17600/3*theta_K^3 - 42240*theta_K^2 + 255680/3*theta_K - 51120,31202048/3*theta_K^3 - 22543360*theta_K^2 - 89152768/3*theta_K + 48721792,x^4 - 8*x^2 + 9,4,4,0,12544,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True
510,-12800*theta_K^3 - 34560*theta_K^2 + 21760*theta_K + 44720,8637440/3*theta_K^3 + 7576704*theta_K^2 - 12113920/3*theta_K - 10200576,x^4 - 8*x^2 + 9,4,4,0,12544,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True
511,-18240*theta_K^3 - 80640*theta_K^2 - 20160*theta_K + 161200,7320320*theta_K^3 + 25050496*theta_K^2 - 1281280*theta_K - 43969024,x^4 - 8*x^2 + 9,4,4,0,12544,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True
512,791680/3*theta_K^3 - 326400*theta_K^2 - 5096960/3*theta_K + 2003280,-795417088/3*theta_K^3 + 305356800*theta_K^2 + 5325129728/3*theta_K - 2061334912,x^4 - 8*x^2 + 9,4,4,0,12544,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True
513,6056000/3*theta_K^3 - 5199360*theta_K^2 - 8198080/3*theta_K + 7039920,-16195264768/3*theta_K^3 + 13917249920*theta_K^2 + 21932480768/3*theta_K - 18847442432,x^4 - 8*x^2 + 9,4,4,0,12544,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True
514,96000*theta_K^3 - 99840*theta_K^2 - 130560*theta_K + 134480,143897600/3*theta_K^3 - 46024704*theta_K^2 - 194897920/3*theta_K + 62318976,x^4 - 8*x^2 + 9,4,4,0,12544,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True
515,-2584000/3*theta_K^3 + 2204160*theta_K^2 + 3552320/3*theta_K - 3005520,-7407668992/3*theta_K^3 + 6366899840*theta_K^2 + 10027695872/3*theta_K - 8620763648,x^4 - 8*x^2 + 9,4,4,0,12544,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True
516,-96000*theta_K^3 - 99840*theta_K^2 + 130560*theta_K + 134480,143897600/3*theta_K^3 + 46024704*theta_K^2 - 194897920/3*theta_K - 62318976,x^4 - 8*x^2 + 9,4,4,0,12544,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True
517,96000*theta_K^3 - 99840*theta_K^2 - 130560*theta_K + 134480,-143897600/3*theta_K^3 + 46024704*theta_K^2 + 194897920/3*theta_K - 62318976,x^4 - 8*x^2 + 9,4,4,0,12544,x^4 - 75579535015741588088518020000*x^3 - 1251995474985759392628697477841250000*x^2 + 18314847446238545696830716579562500000000*x - 8964424282273362890505339044524081787109375,4,True
